ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,5.7.E+06,Undetermined,1.6.E+07,2.8.E+06,1.3.E+06,Undetermined,Undetermined,3.3.E+06,1.4.E+06,9.1.E+06,1.0.E+06,1.7.E+06,4.4.E+07,5.3.E+06,1.1.E+04,4.9.E+06,4.3.E+07,1.3.E+07,4.8.E+06,3.8.E+07,1.1.E+07,7.1.E+07,4.5.E+06,1.9.E+06,1.5.E+06,6.1.E+06,Undetermined,Undetermined,Undetermined,Undetermined,8.6.E+05,1.2.E+07,9.7.E+06,Undetermined,Undetermined,9.4.E+06,2.1.E+06,9.6.E+06,1.1.E+06,2.6.E+07,2.3.E+05,8.4.E+05,1.6.E+08,Undetermined,Undetermined,2.4.E+07,1.5.E+07,3.4.E+07,3.8.E+07,Undetermined,2.5.E+06,6.0.E+06
001,Polysaccharides,KULFFI-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,Polysaccharides,KULFFI-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,Polysaccharides,KULFFI-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,Polysaccharides,KULFFI-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,Polysaccharides,KULFFI-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,Polysaccharides,KULFFI-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,Polysaccharides,KULFFI-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008,Polysaccharides,Resistant starch,4.2.E+06,Undetermined,3.2.E+07,4.2.E+06,2.0.E+06,Undetermined,Undetermined,2.2.E+06,1.9.E+06,3.8.E+06,1.3.E+06,2.4.E+05,1.3.E+08,8.1.E+06,Undetermined,1.3.E+07,6.9.E+07,8.6.E+06,5.3.E+06,2.1.E+07,1.3.E+07,5.0.E+07,7.3.E+06,2.4.E+06,1.2.E+06,6.4.E+06,Undetermined,Undetermined,Undetermined,Undetermined,8.9.E+05,1.2.E+07,1.6.E+07,Undetermined,Undetermined,7.3.E+06,1.5.E+06,1.1.E+07,1.8.E+06,3.1.E+07,2.4.E+05,9.7.E+05,8.9.E+07,Undetermined,Undetermined,2.0.E+07,2.6.E+07,3.4.E+07,4.6.E+07,Undetermined,1.8.E+06,7.7.E+06
009,Polysaccharides,KULFFI-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,Polysaccharides,KULFFI-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,Polysaccharides,KULFFI-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012,Oligosaccharides,KULFFI-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,Oligosaccharides,KULFFI-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,Oligosaccharides,KULFFI-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,Oligosaccharides,KULFFI-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,Oligosaccharides,Inulin,3.4.E+06,Undetermined,3.9.E+07,1.5.E+06,3.1.E+06,Undetermined,Undetermined,2.1.E+06,1.6.E+06,5.3.E+06,1.3.E+06,6.0.E+05,1.1.E+08,7.0.E+06,Undetermined,1.1.E+07,9.9.E+07,1.4.E+07,3.1.E+06,1.5.E+07,2.1.E+07,2.7.E+07,4.6.E+06,5.9.E+06,2.2.E+06,1.3.E+07,Undetermined,Undetermined,Undetermined,Undetermined,4.4.E+05,1.8.E+07,1.7.E+07,Undetermined,Undetermined,1.5.E+07,1.1.E+06,1.0.E+07,3.7.E+06,3.9.E+07,1.8.E+05,1.2.E+06,2.9.E+08,1.0.E+04,Undetermined,2.9.E+07,2.6.E+07,4.5.E+07,7.1.E+07,Undetermined,1.6.E+06,8.4.E+06
017,Oligosaccharides,KULFFI-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018,Oligosaccharides,Resistant maltodextrin,2.4.E+06,Undetermined,3.1.E+07,4.4.E+06,2.5.E+06,Undetermined,Undetermined,1.2.E+06,1.7.E+06,8.3.E+06,1.8.E+06,1.2.E+06,9.9.E+07,5.1.E+06,Undetermined,5.6.E+06,8.2.E+07,1.2.E+07,7.4.E+06,4.4.E+07,1.4.E+07,1.1.E+08,7.2.E+06,4.0.E+06,1.6.E+06,1.0.E+07,Undetermined,Undetermined,Undetermined,Undetermined,2.0.E+05,9.9.E+06,1.9.E+07,Undetermined,Undetermined,8.1.E+06,6.4.E+05,1.3.E+07,1.7.E+06,2.6.E+07,2.1.E+05,1.2.E+06,1.6.E+08,Undetermined,Undetermined,3.0.E+07,1.6.E+07,4.7.E+07,5.9.E+07,Undetermined,1.5.E+06,8.6.E+06
019,Oligosaccharides,KULFFI-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020,Disaccharides,KULFFI-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021,Disaccharides,KULFFI-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022,Disaccharides,KULFFI-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023,Disaccharides,KULFFI-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024,Disaccharides,KULFFI-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025,Disaccharides,KULFFI-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026,Monosaccharides/Polyols,KULFFI-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027,Monosaccharides/Polyols,KULFFI-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028,Monosaccharides/Polyols,KULFFI-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,Monosaccharides/Polyols,Erythritol,2.9.E+07,Undetermined,4.9.E+06,3.5.E+08,1.0.E+07,Undetermined,Undetermined,4.0.E+07,1.2.E+06,2.9.E+07,1.5.E+08,8.5.E+05,3.8.E+07,3.1.E+08,Undetermined,9.9.E+07,6.4.E+08,4.1.E+07,1.6.E+07,5.6.E+08,1.7.E+08,1.1.E+09,4.7.E+07,8.4.E+08,1.1.E+06,6.8.E+06,Undetermined,Undetermined,Undetermined,Undetermined,2.0.E+05,6.9.E+07,1.3.E+07,Undetermined,Undetermined,7.8.E+08,2.5.E+07,1.7.E+08,1.0.E+06,1.0.E+08,4.8.E+06,1.5.E+06,2.6.E+08,Undetermined,Undetermined,1.1.E+08,3.0.E+07,1.5.E+08,7.2.E+08,Undetermined,2.6.E+07,7.3.E+06
030,Monosaccharides/Polyols,KULFFI-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031,Monosaccharides/Polyols,KULFFI-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,Monosaccharides/Polyols,KULFFI-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033,Monosaccharides/Polyols,KULFFI-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034,Monosaccharides/Polyols,KULFFI-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035,Monosaccharides/Polyols,KULFFI-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036,Monosaccharides/Polyols,KULFFI-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037,Monosaccharides/Polyols,Mannose,8.3.E+06,Undetermined,4.0.E+07,1.9.E+06,9.1.E+06,Undetermined,Undetermined,1.0.E+06,9.3.E+05,7.0.E+06,7.3.E+05,3.7.E+05,1.4.E+08,5.8.E+06,Undetermined,5.7.E+06,1.1.E+08,1.3.E+07,4.6.E+06,2.0.E+07,1.7.E+07,2.1.E+07,6.7.E+06,1.1.E+07,3.2.E+06,2.0.E+07,Undetermined,Undetermined,Undetermined,Undetermined,2.4.E+05,2.5.E+07,2.5.E+07,Undetermined,Undetermined,1.4.E+07,6.1.E+05,1.2.E+07,3.2.E+06,2.6.E+07,1.9.E+05,1.4.E+06,4.2.E+08,5.8.E+04,Undetermined,3.0.E+07,1.0.E+07,6.5.E+07,8.6.E+07,Undetermined,9.2.E+05,6.5.E+06
038,Monosaccharides/Polyols,KULFFI-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,Monosaccharides/Polyols,KULFFI-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040,Monosaccharides/Polyols,KULFFI-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041,Monosaccharides/Polyols,KULFFI-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,Monosaccharides/Polyols,KULFFI-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043,Monosaccharides/Polyols,Xylitol,1.3.E+08,Undetermined,1.6.E+07,5.6.E+05,1.1.E+07,Undetermined,Undetermined,4.6.E+08,1.2.E+06,5.4.E+07,1.7.E+05,5.9.E+05,5.4.E+08,3.0.E+07,Undetermined,4.7.E+06,1.1.E+09,1.9.E+07,9.8.E+07,5.4.E+08,1.2.E+09,1.8.E+08,6.7.E+06,3.0.E+08,1.6.E+06,8.9.E+06,Undetermined,1.1.E+07,Undetermined,Undetermined,8.2.E+06,1.8.E+07,2.2.E+07,Undetermined,Undetermined,1.3.E+07,1.7.E+06,1.8.E+08,1.1.E+06,5.0.E+06,1.5.E+05,1.4.E+06,1.7.E+08,8.6.E+04,Undetermined,1.3.E+09,1.5.E+07,9.6.E+07,4.5.E+07,Undetermined,1.6.E+06,7.4.E+06
044,Monosaccharides/Polyols,KULFFI-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045,Amino acids,KULFFI-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046,Amino acids,KULFFI-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047,Amino acids,KULFFI-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048,Amino acids,KULFFI-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049,Amino acids,KULFFI-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,Amino acids,KULFFI-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,Amino acids,KULFFI-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052,Amino acids,KULFFI-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053,Amino acids,KULFFI-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,Amino acids,KULFFI-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055,Amino acids,KULFFI-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056,Amino acids,KULFFI-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057,Amino acids,KULFFI-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058,Amino acids,KULFFI-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059,Amino acids,KULFFI-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060,Amino acids,KULFFI-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061,Amino acids,KULFFI-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062,Amino acids,KULFFI-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063,Amino acids,KULFFI-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,Amino acids,KULFFI-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065,Organic acids,KULFFI-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066,Organic acids,KULFFI-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067,Organic acids,KULFFI-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068,Organic acids,KULFFI-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069,Organic acids,KULFFI-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070,Minerals,KULFFI-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071,Minerals,KULFFI-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072,Minerals,KULFFI-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073,Minerals,KULFFI-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074,Minerals,KULFFI-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
